Indicator Category,Indicator,Year,Gender,Race/ Ethnicity,Value,Place
Behavioral Health/Substance Abuse,"Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.",2013,Both,All,3.9,"Detroit, MI"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Female,Black,31.8,"Detroit, MI"
Behavioral Health/Substance Abuse,"Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.",2012,Male,All,7,"Detroit, MI"
Behavioral Health/Substance Abuse,"Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.",2012,Female,All,6.3,"Detroit, MI"
Behavioral Health/Substance Abuse,"Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.",2011,Both,Black,3.6,"Detroit, MI"
Behavioral Health/Substance Abuse,"Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.",2013,Both,Black,3.8,"Detroit, MI"
Behavioral Health/Substance Abuse,"Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.",2012,Both,Black,3.9,"Detroit, MI"
Behavioral Health/Substance Abuse,"Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.",2013,Both,Native American,2,"Detroit, MI"
Behavioral Health/Substance Abuse,"Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.",2012,Both,Native American,4.2,"Detroit, MI"
Behavioral Health/Substance Abuse,"Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.",2011,Both,White,4.7,"Detroit, MI"
Behavioral Health/Substance Abuse,"Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.",2013,Both,White,4.3,"Detroit, MI"
Behavioral Health/Substance Abuse,"Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.",2012,Both,White,7.5,"Detroit, MI"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Female,All,28.6,"Detroit, MI"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Female,All,27.8,"Detroit, MI"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Female,All,30.6,"Detroit, MI"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Female,Black,28.5,"Detroit, MI"
Cancer,"Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Female,Black,29.5,"Detroit, MI"
Life Expectancy and Death Rate (Overall),Life Expectancy at Birth (Years),2011,Both,White,81.1,"San Diego County, CA"
Injury and Violence,"Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Male,All,71.6,"Detroit, MI"
Injury and Violence,"Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Female,All,8.7,"Detroit, MI"
Injury and Violence,"Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,All,38.7,"Detroit, MI"
Injury and Violence,"Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Male,All,89.6,"Detroit, MI"
Injury and Violence,"Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Female,All,8.5,"Detroit, MI"
Injury and Violence,"Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,All,47.2,"Detroit, MI"
Injury and Violence,"Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Male,All,84.6,"Detroit, MI"
Injury and Violence,"Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Female,All,8,"Detroit, MI"
Injury and Violence,"Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,All,44.4,"Detroit, MI"
Injury and Violence,"Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Black,42.2,"Detroit, MI"
Injury and Violence,"Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Black,51.4,"Detroit, MI"
HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",2013,Both,Other,8.7,"Detroit, MI"
Injury and Violence,"Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Black,47.3,"Detroit, MI"
Injury and Violence,"Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,White,15.1,"Detroit, MI"
Injury and Violence,"Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,White,23.3,"Detroit, MI"
Injury and Violence,"Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,White,37,"Detroit, MI"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Male,All,405.8,"Detroit, MI"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Female,All,245.9,"Detroit, MI"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,All,314.1,"Detroit, MI"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,All,334.6,"Detroit, MI"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Black,320.8,"Detroit, MI"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Black,348,"Detroit, MI"
HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",2012,Both,Other,17.5,"Detroit, MI"
Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",2012,Both,Black,9.9,"Kansas City, MO"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,White,266.7,"Detroit, MI"
"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,White,265.6,"Detroit, MI"
HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",2014,Female,All,13.8,"Detroit, MI"
HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",2014,Both,All,35.6,"Detroit, MI"
HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",2013,Male,All,66.3,"Detroit, MI"
HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",2013,Female,All,13,"Detroit, MI"
HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",2013,Both,All,38.2,"Detroit, MI"
HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",2012,Male,All,60.4,"Detroit, MI"
HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",2012,Female,All,18.1,"Detroit, MI"
HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",2012,Both,All,38.1,"Detroit, MI"
HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",2014,Male,All,59.8,"Detroit, MI"
HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",2014,Both,Black,40.1,"Detroit, MI"
HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",2013,Both,Black,43,"Detroit, MI"
HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",2012,Both,Black,42.8,"Detroit, MI"
HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",2014,Both,Hispanic,8.2,"Detroit, MI"
HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",2013,Both,Hispanic,10.3,"Detroit, MI"
HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",2012,Both,Hispanic,10.3,"Detroit, MI"
HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",2014,Both,Other,8.7,"Detroit, MI"
HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",2014,Both,White,23.4,"Detroit, MI"
HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",2013,Both,White,25.2,"Detroit, MI"
HIV/AIDS,"HIV Diagnoses Rate (Per 100,000 people)",2012,Both,White,21.6,"Detroit, MI"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Male,All,2.6,"Detroit, MI"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Female,All,1.7,"Detroit, MI"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,All,2.1,"Detroit, MI"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Male,All,13.1,"Detroit, MI"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Female,All,2.8,"Detroit, MI"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,All,7.7,"Detroit, MI"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Male,All,20.3,"Detroit, MI"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Female,All,5.9,"Detroit, MI"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,All,12.7,"Detroit, MI"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,Black,2.4,"Detroit, MI"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Black,8.2,"Detroit, MI"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Black,12.4,"Detroit, MI"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,Hispanic,0,"Detroit, MI"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Hispanic,2.1,"Detroit, MI"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Hispanic,4.1,"Detroit, MI"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,Other,4.4,"Detroit, MI"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Other,4.4,"Detroit, MI"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Other,13.1,"Detroit, MI"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,White,0,"Detroit, MI"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,White,3.6,"Detroit, MI"
HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,White,7.2,"Detroit, MI"
Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",2013,Both,All,40.5,"Detroit, MI"
Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",2012,Male,All,86.9,"Detroit, MI"
Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",2012,Female,All,12,"Detroit, MI"
Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",2012,Both,All,47.9,"Detroit, MI"
Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",2011,Male,All,84.8,"Detroit, MI"
Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",2011,Female,All,9.7,"Detroit, MI"
Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",2011,Both,All,45.2,"Detroit, MI"
Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",2013,Male,All,73.2,"Detroit, MI"
Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",2013,Female,All,10.8,"Detroit, MI"
Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Black,52.7,"Detroit, MI"
Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Black,49.9,"Detroit, MI"
Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Black,44,"Detroit, MI"
Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",2012,Both,White,18.4,"Detroit, MI"
Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",2011,Both,White,26,"Detroit, MI"
Injury and Violence,"Homicide Rate (Age-Adjusted; Per 100,000 people)",2013,Both,White,16.1,"Detroit, MI"
Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",2011,Both,All,12.6,"Detroit, MI"
Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",2011,Both,Black,14.8,"Detroit, MI"
Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",2011,Both,White,10.1,"Detroit, MI"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Male,All,81.7,"Detroit, MI"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Female,All,44.9,"Detroit, MI"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,All,60.1,"Detroit, MI"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Male,All,79.2,"Detroit, MI"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Female,All,48.9,"Detroit, MI"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,All,61.2,"Detroit, MI"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Male,All,73,"Detroit, MI"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Female,All,45.7,"Detroit, MI"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,All,56.5,"Detroit, MI"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Black,62.6,"Detroit, MI"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Black,62.1,"Detroit, MI"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Black,56.9,"Detroit, MI"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,White,43.3,"Detroit, MI"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,White,56.9,"Detroit, MI"
Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,White,53.8,"Detroit, MI"
Demographics,Median Household Income (Dollars),2013,Both,All,24820,"Detroit, MI"
Demographics,Median Household Income (Dollars),2012,Both,All,23600,"Detroit, MI"
Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,All,9,"Detroit, MI"
Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Male,All,19.9,"Detroit, MI"
Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Female,All,6.9,"Detroit, MI"
Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,All,12.9,"Detroit, MI"
Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Male,All,14.2,"Detroit, MI"
Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Female,All,4.5,"Detroit, MI"
Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Black,14.4,"Detroit, MI"
Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Black,9.8,"Detroit, MI"
Behavioral Health/Substance Abuse,"Opioid-Related Mortality Rate (Crude Rate; Per 100,000 people) *These data should not be compared across cities as they have different definitions",2013,Male,All,4,"Detroit, MI"
Behavioral Health/Substance Abuse,"Opioid-Related Mortality Rate (Crude Rate; Per 100,000 people) *These data should not be compared across cities as they have different definitions",2013,Female,All,3,"Detroit, MI"
Behavioral Health/Substance Abuse,"Opioid-Related Mortality Rate (Crude Rate; Per 100,000 people) *These data should not be compared across cities as they have different definitions",2013,Both,All,7,"Detroit, MI"
Behavioral Health/Substance Abuse,"Opioid-Related Mortality Rate (Crude Rate; Per 100,000 people) *These data should not be compared across cities as they have different definitions",2012,Male,All,2,"Detroit, MI"
Behavioral Health/Substance Abuse,"Opioid-Related Mortality Rate (Crude Rate; Per 100,000 people) *These data should not be compared across cities as they have different definitions",2012,Female,All,6,"Detroit, MI"
Demographics,Percent 18+ High School Graduates,2013,Both,All,78.2,"Detroit, MI"
Behavioral Health/Substance Abuse,"Opioid-Related Mortality Rate (Crude Rate; Per 100,000 people) *These data should not be compared across cities as they have different definitions",2012,Both,All,8,"Detroit, MI"
Behavioral Health/Substance Abuse,"Opioid-Related Mortality Rate (Crude Rate; Per 100,000 people) *These data should not be compared across cities as they have different definitions",2011,Male,All,5,"Detroit, MI"
Behavioral Health/Substance Abuse,"Opioid-Related Mortality Rate (Crude Rate; Per 100,000 people) *These data should not be compared across cities as they have different definitions",2011,Female,All,6,"Detroit, MI"
Behavioral Health/Substance Abuse,"Opioid-Related Mortality Rate (Crude Rate; Per 100,000 people) *These data should not be compared across cities as they have different definitions",2011,Both,All,11,"Detroit, MI"
Behavioral Health/Substance Abuse,"Opioid-Related Mortality Rate (Crude Rate; Per 100,000 people) *These data should not be compared across cities as they have different definitions",2013,Both,Black,4,"Detroit, MI"
Behavioral Health/Substance Abuse,"Opioid-Related Mortality Rate (Crude Rate; Per 100,000 people) *These data should not be compared across cities as they have different definitions",2012,Both,Black,6,"Detroit, MI"
Behavioral Health/Substance Abuse,"Opioid-Related Mortality Rate (Crude Rate; Per 100,000 people) *These data should not be compared across cities as they have different definitions",2011,Both,Black,7,"Detroit, MI"
Behavioral Health/Substance Abuse,"Opioid-Related Mortality Rate (Crude Rate; Per 100,000 people) *These data should not be compared across cities as they have different definitions",2013,Both,Hispanic,1,"Detroit, MI"
Behavioral Health/Substance Abuse,"Opioid-Related Mortality Rate (Crude Rate; Per 100,000 people) *These data should not be compared across cities as they have different definitions",2013,Both,Other,1,"Detroit, MI"
Behavioral Health/Substance Abuse,"Opioid-Related Mortality Rate (Crude Rate; Per 100,000 people) *These data should not be compared across cities as they have different definitions",2013,Both,White,2,"Detroit, MI"
Behavioral Health/Substance Abuse,"Opioid-Related Mortality Rate (Crude Rate; Per 100,000 people) *These data should not be compared across cities as they have different definitions",2012,Both,White,2,"Detroit, MI"
Behavioral Health/Substance Abuse,"Opioid-Related Mortality Rate (Crude Rate; Per 100,000 people) *These data should not be compared across cities as they have different definitions",2011,Both,White,4,"Detroit, MI"
Life Expectancy and Death Rate (Overall),Life Expectancy at Birth (Years),2013,Both,White,81.1,"San Diego County, CA"
Demographics,Percent 18+ High School Graduates,2012,Both,All,76.8,"Detroit, MI"
Demographics,Percent Below 200% Poverty Level,2013,Both,All,64,"Detroit, MI"
Demographics,Percent Below 200% Poverty Level,2012,Both,All,65.3,"Detroit, MI"
Demographics,Percent Foreign Born,2013,Both,All,5,"Detroit, MI"
Demographics,Percent Foreign Born,2012,Both,All,5,"Detroit, MI"
"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,2011,Both,All,39.7,"Detroit, MI"
"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,2011,Both,Black,39.3,"Detroit, MI"
"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,2011,Both,Hispanic,47.2,"Detroit, MI"
"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,2011,Both,White,33.9,"Detroit, MI"
"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Meet CDC-Recommended Physical Activity Levels,2011,Both,All,19.1,"Detroit, MI"
"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Meet CDC-Recommended Physical Activity Levels,2011,Both,Black,19.3,"Detroit, MI"
"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Meet CDC-Recommended Physical Activity Levels,2011,Both,Hispanic,25.6,"Detroit, MI"
"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Meet CDC-Recommended Physical Activity Levels,2011,Both,White,14.9,"Detroit, MI"
Demographics,Percent of Children Living in Poverty,2013,Both,All,60.6,"Detroit, MI"
Demographics,Percent of Children Living in Poverty,2012,Both,All,61.4,"Detroit, MI"
"Nutrition, Physical Activity, & Obesity",Percent of High School Students Who Are Obese,2013,Male,All,25.4,"Detroit, MI"
"Nutrition, Physical Activity, & Obesity",Percent of High School Students Who Are Obese,2013,Female,All,20.8,"Detroit, MI"
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2011,Both,White,8.3,"Detroit, MI"
"Nutrition, Physical Activity, & Obesity",Percent of High School Students Who Are Obese,2013,Both,All,22.9,"Detroit, MI"
"Nutrition, Physical Activity, & Obesity",Percent of High School Students Who Are Obese,2013,Both,Black,22.6,"Detroit, MI"
"Nutrition, Physical Activity, & Obesity",Percent of High School Students Who Are Obese,2013,Both,Hispanic,29.2,"Detroit, MI"
Tobacco,Percent of High School Students Who Currently Smoke,2011,Female,All,3.2,"Detroit, MI"
Tobacco,Percent of High School Students Who Currently Smoke,2013,Female,All,2.8,"Detroit, MI"
Tobacco,Percent of High School Students Who Currently Smoke,2011,Both,All,4.8,"Detroit, MI"
Tobacco,Percent of High School Students Who Currently Smoke,2013,Male,All,3.7,"Detroit, MI"
Tobacco,Percent of High School Students Who Currently Smoke,2011,Male,All,6.1,"Detroit, MI"
Tobacco,Percent of High School Students Who Currently Smoke,2013,Both,All,3.4,"Detroit, MI"
"Nutrition, Physical Activity, & Obesity",Percent of High School Students Who Meet CDC-Recommended Physical Activity Levels,2013,Male,All,16.6,"Detroit, MI"
"Nutrition, Physical Activity, & Obesity",Percent of High School Students Who Meet CDC-Recommended Physical Activity Levels,2013,Female,All,10.8,"Detroit, MI"
"Nutrition, Physical Activity, & Obesity",Percent of High School Students Who Meet CDC-Recommended Physical Activity Levels,2013,Both,All,13.3,"Detroit, MI"
"Nutrition, Physical Activity, & Obesity",Percent of High School Students Who Meet CDC-Recommended Physical Activity Levels,2013,Both,Black,13.9,"Detroit, MI"
"Nutrition, Physical Activity, & Obesity",Percent of High School Students Who Meet CDC-Recommended Physical Activity Levels,2013,Both,Hispanic,8.6,"Detroit, MI"
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2011,Both,All,13,"Detroit, MI"
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2011,Both,Black,14.1,"Detroit, MI"
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2011,Both,Hispanic,6.6,"Detroit, MI"
HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",2014,Male,All,1243.2,"Detroit, MI"
HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",2014,Female,All,401.5,"Detroit, MI"
HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",2014,Both,All,799.7,"Detroit, MI"
HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",2013,Male,All,1192.3,"Detroit, MI"
HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",2013,Female,All,392.2,"Detroit, MI"
HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",2013,Both,All,770.7,"Detroit, MI"
HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",2012,Male,All,1146.1,"Detroit, MI"
HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",2012,Female,All,383.4,"Detroit, MI"
HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",2012,Both,All,744.2,"Detroit, MI"
HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",2014,Both,Black,864.7,"Detroit, MI"
HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",2013,Both,Black,832.5,"Detroit, MI"
HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",2012,Both,Black,802.8,"Detroit, MI"
HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",2014,Both,Hispanic,351.3,"Detroit, MI"
HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",2013,Both,Hispanic,345.1,"Detroit, MI"
HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",2012,Both,Hispanic,339,"Detroit, MI"
HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",2014,Both,Other,554.1,"Detroit, MI"
HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",2013,Both,Other,545.4,"Detroit, MI"
HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",2012,Both,Other,545.4,"Detroit, MI"
HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",2014,Both,White,607.9,"Detroit, MI"
HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",2013,Both,White,584.5,"Detroit, MI"
HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",2012,Both,White,562.9,"Detroit, MI"
Infectious Disease,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,All,17.3,"Detroit, MI"
Infectious Disease,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Black,17.4,"Detroit, MI"
Infectious Disease,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,White,18.3,"Detroit, MI"
Demographics,Race/Ethnicity,2013,Both,Multiracial,1.7,"Detroit, MI"
Demographics,Race/Ethnicity,2013,Both,Other,0.1,"Detroit, MI"
Injury and Violence,"Suicide Rate  (Age-Adjusted; Per 100,000 people)",2013,Male,All,14.6,"Detroit, MI"
Injury and Violence,"Suicide Rate  (Age-Adjusted; Per 100,000 people)",2013,Female,All,2.3,"Detroit, MI"
Injury and Violence,"Suicide Rate  (Age-Adjusted; Per 100,000 people)",2013,Both,All,8.1,"Detroit, MI"
Injury and Violence,"Suicide Rate  (Age-Adjusted; Per 100,000 people)",2012,Male,All,15.7,"Detroit, MI"
Injury and Violence,"Suicide Rate  (Age-Adjusted; Per 100,000 people)",2012,Female,All,3.2,"Detroit, MI"
Injury and Violence,"Suicide Rate  (Age-Adjusted; Per 100,000 people)",2012,Both,All,9,"Detroit, MI"
Injury and Violence,"Suicide Rate  (Age-Adjusted; Per 100,000 people)",2011,Male,All,15.1,"Detroit, MI"
Injury and Violence,"Suicide Rate  (Age-Adjusted; Per 100,000 people)",2011,Female,All,3.7,"Detroit, MI"
Injury and Violence,"Suicide Rate  (Age-Adjusted; Per 100,000 people)",2011,Both,All,8.9,"Detroit, MI"
Injury and Violence,"Suicide Rate  (Age-Adjusted; Per 100,000 people)",2011,Both,Black,7.1,"Detroit, MI"
Injury and Violence,"Suicide Rate  (Age-Adjusted; Per 100,000 people)",2013,Both,Black,6.6,"Detroit, MI"
