Player,Number_seasons,Games_played,At_bats,Runs,Hits,Doubles,Triples,Home_runs,RBIs,Walks,Strikeouts,Batting_average,On_base_pct,Slugging_pct,Fielding_ave,Position
BOBBY_MURCER,17,1908,6730,972,1862,285,45,252,1043,862,841,0.277,0.361,0.445,0.981,Outfield
BILL_HALLMAN,14,1503,6012,937,1634,234,81,21,769,425,283,0.272,0.325,0.348,0.94,Second_base
JIMMY_SHECKARD,17,2122,7605,1296,2084,354,136,56,813,1135,233,0.274,0.375,0.378,0.958,Outfield
JOE_SEWELL,14,1903,7132,1141,2226,436,68,49,1055,842,114,0.312,0.391,0.413,0.951,Shortstop
STEVE_HENDERSON,12,1085,3484,459,976,162,49,68,428,386,677,0.28,0.354,0.413,0.968,Outfield
JIM_LANDIS,11,1346,4288,625,1061,169,50,93,467,588,767,0.247,0.346,0.375,0.989,Outfield
JACK_FOURNIER,15,1530,5208,822,1631,252,113,136,859,587,408,0.313,0.392,0.483,0.984,First_base
OZZIE_VIRGIL.JR.,11,739,2258,258,549,84,6,98,307,248,453,0.243,0.326,0.416,0.987,Catcher
JOE_SUGDEN,13,835,2726,303,696,72,25,3,283,220,34,0.255,0.318,0.303,0.957,Catcher
JACK_BARRY,11,1223,4146,532,1009,142,38,10,429,396,142,0.243,0.321,0.303,0.935,Shortstop
SHERM_LOLLAR,18,1752,5351,623,1415,244,14,155,808,671,453,0.264,0.359,0.402,0.992,Catcher
MERV_RETTENMUND,13,1023,2555,393,693,114,16,66,329,445,382,0.271,0.383,0.406,0.985,Outfield
EDDIE_MOORE,10,748,2474,360,706,108,26,13,257,272,121,0.285,0.359,0.366,0.956,Second_base
PETE_BROWNING,13,1183,4820,954,1646,295,85,46,353,466,167,0.341,0.403,0.467,0.883,Outfield
WALT_DROPO,13,1288,4124,478,1113,168,22,152,704,328,582,0.27,0.327,0.432,0.992,First_base
ARKY_VAUGHAN,14,1817,6622,1173,2103,356,128,96,926,937,276,0.318,0.406,0.453,0.951,Shortstop
JIM_DONNELLY,11,660,2411,324,552,57,28,2,234,170,144,0.229,0.284,0.278,0.862,Third_base
LARRY_BROWN,12,1129,3449,331,803,108,13,47,254,317,414,0.233,0.301,0.313,0.964,Shortstop
WALLY_GERBER,15,1522,5099,558,1309,172,46,7,476,465,357,0.257,0.323,0.313,0.943,Shortstop
JACK_DOYLE,17,1564,6039,971,1806,315,64,26,924,437,132,0.299,0.351,0.385,0.975,First_base
JOHN_WARNER,14,1073,3494,348,870,81,35,6,303,181,33,0.249,0.301,0.297,0.966,Catcher
WALTON_CRUISE,10,736,2321,293,644,83,39,30,272,238,250,0.277,0.348,0.386,0.962,Outfield
JIM_DWYER,18,1328,2761,409,719,115,17,77,349,402,402,0.26,0.357,0.398,0.979,Outfield
DEL_CRANDALL,16,1573,5026,585,1276,179,18,179,657,424,477,0.254,0.315,0.404,0.989,Catcher
PAT_TABLER,12,1202,3911,454,1101,190,25,47,512,375,559,0.282,0.348,0.379,0.988,First_base
JESSE_BURKETT,16,2066,8421,1720,2850,320,182,75,952,1029,230,0.338,0.415,0.446,0.917,Outfield
CHARLIE_BERRY,11,709,2018,196,539,88,29,23,256,160,196,0.267,0.322,0.374,0.982,Catcher
HAL_JEFFCOAT,12,918,1963,249,487,95,18,26,188,114,289,0.248,0.291,0.355,0.978,Outfield
RAY_MUELLER,14,985,2911,281,733,123,23,56,373,250,322,0.252,0.314,0.368,0.988,Catcher
CARL_REYNOLDS,13,1222,4495,672,1357,247,107,80,699,260,308,0.302,0.346,0.458,0.97,Outfield
MOOKIE_WILSON,12,1403,5094,731,1397,227,71,67,438,282,866,0.274,0.315,0.386,0.982,Outfield
MIKE_FISCHLIN,10,517,941,109,207,29,6,3,68,92,142,0.22,0.293,0.273,0.959,Shortstop
HECTOR_LOPEZ,12,1450,4644,623,1251,193,37,136,591,418,696,0.269,0.333,0.415,0.967,Outfield
GENE_MOORE,14,1042,3543,497,958,179,53,58,436,317,401,0.27,0.333,0.4,0.975,Outfield
LEN_RANDLE,12,1138,3950,488,1016,145,40,27,322,372,505,0.257,0.323,0.335,0.953,Third_base
BILLY_KLAUS,11,821,2513,357,626,106,15,40,250,331,285,0.249,0.337,0.351,0.955,Shortstop
TONY_PEREZ,23,2777,9778,1272,2732,505,79,379,1652,925,1867,0.279,0.344,0.463,0.992,First_base
JOE_DUGAN,14,1447,5410,665,1516,277,46,42,571,250,418,0.28,0.317,0.372,0.957,Third_base
LARRY_BOWA,16,2247,8418,987,2191,262,99,15,525,474,569,0.26,0.301,0.32,0.98,Shortstop
GENE_DeMONTREVILLE,11,922,3615,537,1096,130,35,17,497,174,35,0.303,0.34,0.373,0.948,Second_base
DOM_DiMAGGIO,11,1399,5640,1046,1680,308,57,87,618,750,571,0.298,0.383,0.419,0.978,Outfield
DUCKY_HOLMES,10,932,3601,539,1014,142,58,17,374,236,14,0.282,0.337,0.367,0.93,Outfield
EZRA_SUTTON,13,1031,4281,739,1231,190,73,21,518,164,174,0.288,0.315,0.381,0.871,Third_base
CLAUDEL_WASHINGTON,17,1912,6787,926,1884,334,69,164,824,468,1266,0.278,0.328,0.42,0.973,Outfield
STEVE_BRAUN,15,1425,3650,466,989,155,19,52,388,579,433,0.271,0.373,0.367,0.973,Outfield
DUMMY_HOY,14,1796,7112,1426,2044,248,121,40,726,1004,210,0.287,0.385,0.373,0.915,Outfield
ARLIE_LATHAM,17,1627,6822,1478,1833,245,85,27,398,589,239,0.269,0.334,0.341,0.87,Third_base
ART_WHITNEY,11,978,3681,475,820,89,32,6,266,302,173,0.223,0.285,0.269,0.888,Third_base
ED_KONETCHY,15,2085,7649,972,2150,344,181,75,992,689,545,0.281,0.346,0.403,0.99,First_base
ANDY_CAREY,11,938,2850,371,741,119,38,64,350,268,389,0.26,0.329,0.396,0.958,Third_base
ROY_WEATHERLY,10,811,2781,415,794,152,44,43,290,180,170,0.286,0.331,0.418,0.975,Outfield
JOE_ADCOCK,17,1959,6606,823,1832,295,35,336,1122,594,1059,0.277,0.339,0.485,0.994,First_base
JERRY_ADAIR,13,1165,4019,378,1022,163,19,57,366,208,499,0.254,0.294,0.347,0.985,Second_base
TY_CLINE,12,892,1834,251,437,53,25,6,125,153,262,0.238,0.304,0.304,0.986,Outfield
EDDIE_JOOST,17,1574,5606,874,1339,238,35,134,601,1043,827,0.239,0.361,0.366,0.958,Shortstop
BOB_ELLIOTT,15,1978,7141,1064,2061,382,94,170,1195,967,604,0.289,0.375,0.44,0.947,Third_base
GENE_MICHAEL,10,973,2806,249,642,86,12,15,226,234,421,0.229,0.29,0.284,0.962,Shortstop
